,year,region,number_of_projects_funded,total_funded_amount_in_mil,text,size
42,2008,Asia,79,3662.385608,Region: Asia<br>Total Projects Funded: 79<br>Total Funding in USD Millions: 3662.385608<br>Funded Year: 2008,8.888194417315589
43,2008,Europe,3,70.930087,Region: Europe<br>Total Projects Funded: 3<br>Total Funding in USD Millions: 70.930087<br>Funded Year: 2008,1.7320508075688772
44,2008,Oceania,18,329.039199,Region: Oceania<br>Total Projects Funded: 18<br>Total Funding in USD Millions: 329.039199<br>Funded Year: 2008,4.242640687119285
45,2009,Africa,186,7691.425354000003,Region: Africa<br>Total Projects Funded: 186<br>Total Funding in USD Millions: 7691.425354000003<br>Funded Year: 2009,13.638181696985855
46,2009,Americas,28,2433.4874350000005,Region: Americas<br>Total Projects Funded: 28<br>Total Funding in USD Millions: 2433.4874350000005<br>Funded Year: 2009,5.291502622129181
47,2009,Asia,84,13105.55195,Region: Asia<br>Total Projects Funded: 84<br>Total Funding in USD Millions: 13105.55195<br>Funded Year: 2009,9.16515138991168
48,2009,Europe,12,34767.649548999994,Region: Europe<br>Total Projects Funded: 12<br>Total Funding in USD Millions: 34767.649548999994<br>Funded Year: 2009,3.4641016151377544
49,2009,Oceania,31,288.054521,Region: Oceania<br>Total Projects Funded: 31<br>Total Funding in USD Millions: 288.054521<br>Funded Year: 2009,5.5677643628300215
50,2010,Africa,126,5815.661593999999,Region: Africa<br>Total Projects Funded: 126<br>Total Funding in USD Millions: 5815.661593999999<br>Funded Year: 2010,11.224972160321824
51,2010,Americas,41,9292.472475,Region: Americas<br>Total Projects Funded: 41<br>Total Funding in USD Millions: 9292.472475<br>Funded Year: 2010,6.4031242374328485
52,2010,Asia,113,5951.053717,Region: Asia<br>Total Projects Funded: 113<br>Total Funding in USD Millions: 5951.053717<br>Funded Year: 2010,10.63014581273465
53,2010,Europe,11,60.446686,Region: Europe<br>Total Projects Funded: 11<br>Total Funding in USD Millions: 60.446686<br>Funded Year: 2010,3.3166247903554
